station,date,prcp,tobs
USC00519397,05/06/10,0,80
USC00519397,05/07/10,0.05,74
USC00519397,05/08/10,0,77
USC00519397,05/09/10,0,77
USC00519397,05/10/10,0,76
USC00519397,05/11/10,0,77
USC00519397,05/13/10,0,78
USC00519397,05/14/10,0,78
USC00519397,05/15/10,0,75
USC00519397,05/16/10,0.03,73
USC00519397,05/17/10,0,77
USC00519397,05/18/10,0,76
USC00519397,05/19/10,0,77
USC00519397,05/21/10,,77
USC00519397,05/22/10,0,78
USC00519397,05/23/10,0.05,75
USC00519397,05/24/10,0,77
USC00519397,05/25/10,0,77
USC00519397,05/26/10,0.02,77
USC00519397,05/27/10,0,76
USC00519397,05/28/10,0,75
USC00519397,05/29/10,0,77
USC00519397,05/30/10,0,77
USC00519397,05/31/10,0,77
USC00519397,06/01/10,0,78
USC00519397,06/02/10,0.01,76
USC00519397,06/03/10,0,78
USC00519397,06/04/10,0,76
USC00519397,06/05/10,0,77
USC00519397,06/06/10,0,78
USC00519397,06/07/10,0,77
USC00519397,06/08/10,0,78
USC00519397,06/09/10,0,78
USC00519397,06/10/10,0,79
USC00519397,06/11/10,0,78
USC00519397,06/12/10,0,78
USC00519397,06/13/10,0,78
USC00519397,06/14/10,0,77
USC00519397,06/15/10,0,78
USC00519397,06/16/10,0,78
USC00519397,06/17/10,0,77
USC00519397,06/18/10,0,77
USC00519397,06/19/10,0,82
USC00519397,06/20/10,0,78
USC00519397,06/21/10,0,78
USC00519397,06/22/10,0,78
USC00519397,06/23/10,0,78
USC00519397,06/24/10,0,78
USC00519397,06/25/10,0,77
USC00519397,06/26/10,0.02,76
USC00519397,06/27/10,0,78
USC00519397,06/28/10,0,78
USC00519397,06/29/10,0,78
USC00519397,06/30/10,0,78
USC00519397,07/01/10,0.01,75
USC00519397,07/02/10,0.05,77
USC00519397,07/03/10,0.09,77
USC00519397,07/04/10,0.05,78
USC00519397,07/05/10,0.06,78
USC00519397,07/06/10,0.08,76
USC00519397,07/07/10,0.08,74
USC00519397,07/08/10,0.03,76
USC00519397,07/09/10,0.06,74
USC00519397,07/10/10,0.09,76
USC00519397,07/11/10,0,78
USC00519397,07/12/10,0,77
USC00519397,07/13/10,0,80
USC00519397,07/16/10,,78
USC00519397,07/17/10,0.02,76
USC00519397,07/18/10,0,77
USC00519397,07/19/10,0.04,77
USC00519397,07/21/10,0,80
USC00519397,07/22/10,0,78
USC00519397,07/24/10,0,80
USC00519397,07/25/10,0,79
USC00519397,07/26/10,0,78
USC00519397,07/27/10,0,79
USC00519397,07/28/10,0,78
USC00519397,07/29/10,0,79
USC00519397,07/30/10,0,78
USC00519397,07/31/10,0.02,77
USC00519397,08/01/10,0.04,77
USC00519397,08/02/10,0.01,76
USC00519397,08/03/10,0.02,77
USC00519397,08/04/10,0.07,77
USC00519397,08/05/10,0.08,75
USC00519397,08/06/10,0.03,75
USC00519397,08/07/10,0,80
USC00519397,08/08/10,0,77
USC00519397,08/09/10,0,78
USC00519397,08/10/10,0,78
USC00519397,08/11/10,0,77
USC00519397,08/12/10,0,76
USC00519397,08/13/10,0,78
USC00519397,08/14/10,0,78
USC00519397,08/15/10,0.01,76
USC00519397,08/16/10,0,76
USC00519397,08/17/10,0.05,74
USC00519397,08/18/10,0,77
USC00519397,08/19/10,0,79
USC00519397,08/20/10,0,79
USC00519397,08/21/10,0,79
USC00519397,08/22/10,0,75
USC00519397,08/23/10,0.01,87
USC00519397,08/24/10,0,78
USC00519397,08/25/10,0.04,76
USC00519397,08/26/10,0.03,78
USC00519397,08/27/10,0,78
USC00519397,08/28/10,0.04,79
USC00519397,08/29/10,0,78
USC00519397,08/30/10,0,78
USC00519397,08/31/10,0,80
USC00519397,09/01/10,0,77
USC00519397,09/02/10,0.02,76
USC00519397,09/03/10,0.04,78
USC00519397,09/04/10,0.01,77
USC00519397,09/05/10,0,77
USC00519397,09/06/10,0,77
USC00519397,09/07/10,0.06,76
USC00519397,09/08/10,0,78
USC00519397,09/09/10,0,78
USC00519397,09/10/10,0,78
USC00519397,09/11/10,0.05,78
USC00519397,09/12/10,0,74
USC00519397,09/13/10,0,78
USC00519397,09/14/10,0,79
USC00519397,09/15/10,0,77
USC00519397,09/16/10,0,79
USC00519397,09/17/10,0,78
USC00519397,09/19/10,0,78
USC00519397,09/20/10,0,78
USC00519397,09/21/10,0,79
USC00519397,09/22/10,0.04,76
USC00519397,09/23/10,0,78
USC00519397,09/24/10,0,78
USC00519397,09/25/10,0,79
USC00519397,09/26/10,0,74
USC00519397,09/27/10,0,75
USC00519397,09/28/10,0,75
USC00519397,09/29/10,0,78
USC00519397,09/30/10,0.57,73
USC00519397,10/01/10,0.31,78
USC00519397,10/02/10,0.03,78
USC00519397,10/03/10,0,78
USC00519397,10/04/10,0.06,78
USC00519397,10/05/10,0,80
USC00519397,10/06/10,0,79
USC00519397,10/07/10,0,79
USC00519397,10/08/10,0,78
USC00519397,10/09/10,0,78
USC00519397,10/10/10,0,78
USC00519397,10/11/10,0,77
USC00519397,10/12/10,0,79
USC00519397,10/13/10,0,78
USC00519397,10/15/10,0,78
USC00519397,10/16/10,0,77
USC00519397,10/17/10,0,76
USC00519397,10/18/10,0,76
USC00519397,10/19/10,0.07,72
USC00519397,10/20/10,0,74
USC00519397,10/21/10,0,80
USC00519397,10/22/10,0,77
USC00519397,10/23/10,0,75
USC00519397,10/24/10,0,78
USC00519397,10/25/10,0,78
USC00519397,10/26/10,0.07,76
USC00519397,10/27/10,0.05,79
USC00519397,10/28/10,0.06,78
USC00519397,10/29/10,0.03,78
USC00519397,10/30/10,0.02,77
USC00519397,10/31/10,0,76
USC00519397,11/01/10,0.01,75
USC00519397,11/02/10,0.01,73
USC00519397,11/04/10,,73
USC00519397,11/05/10,0,77
USC00519397,11/06/10,0,76
USC00519397,11/07/10,0,77
USC00519397,11/08/10,0,76
USC00519397,11/09/10,0,73
USC00519397,11/10/10,0.23,73
USC00519397,11/11/10,0,77
USC00519397,11/12/10,0,77
USC00519397,11/13/10,0,76
USC00519397,11/16/10,0,73
USC00519397,11/17/10,0,73
USC00519397,11/19/10,,72
USC00519397,11/20/10,0.03,69
USC00519397,11/21/10,0,69
USC00519397,11/22/10,0,68
USC00519397,11/23/10,0,69
USC00519397,11/24/10,0,76
USC00519397,11/25/10,0,76
USC00519397,11/27/10,0,75
USC00519397,11/28/10,0,74
USC00519397,11/29/10,0,69
USC00519397,11/30/10,0,74
USC00519397,12/01/10,0.04,76
USC00519397,12/03/10,0,74
USC00519397,12/04/10,0,74
USC00519397,12/06/10,0,64
USC00519397,12/07/10,0,64
USC00519397,12/08/10,0,67
USC00519397,12/09/10,0,77
USC00519397,12/10/10,1.58,66
USC00519397,12/11/10,0.77,69
USC00519397,12/12/10,0,68
USC00519397,12/13/10,0,68
USC00519397,12/14/10,0,71
USC00519397,12/15/10,0,74
USC00519397,12/16/10,0,67
USC00519397,12/17/10,0,66
USC00519397,12/18/10,0,69
USC00519397,12/19/10,1.4,71
USC00519397,12/23/10,0,70
USC00519397,12/24/10,0,70
USC00519397,12/26/10,,74
USC00519397,12/27/10,0.13,74
USC00519397,12/28/10,0.55,71
USC00519397,12/29/10,0.06,75
USC00519397,12/30/10,0.01,75
USC00519397,12/31/10,0,72
USC00519397,01/01/11,0,69
USC00519397,01/02/11,0,72
USC00519397,01/03/11,0,74
USC00519397,01/04/11,0,73
USC00519397,01/05/11,0,64
USC00519397,01/06/11,0.01,65
USC00519397,01/07/11,0,68
USC00519397,01/08/11,0,62
USC00519397,01/09/11,0,58
USC00519397,01/10/11,0,73
USC00519397,01/11/11,0.09,60
USC00519397,01/13/11,,68
USC00519397,01/14/11,0.03,76
USC00519397,01/15/11,0,68
USC00519397,01/16/11,0,66
USC00519397,01/17/11,0,64
USC00519397,01/18/11,0,64
USC00519397,01/19/11,0.03,64
USC00519397,01/20/11,0,76
USC00519397,01/21/11,0,75
USC00519397,01/22/11,0,68
USC00519397,01/23/11,0,68
USC00519397,01/24/11,0,72
USC00519397,01/25/11,0,63
USC00519397,01/27/11,0,68
USC00519397,01/28/11,0,75
USC00519397,01/29/11,0,65
USC00519397,01/30/11,0,64
USC00519397,01/31/11,0.22,68
USC00519397,02/01/11,0,68
USC00519397,02/02/11,0,66
USC00519397,02/03/11,0,67
USC00519397,02/04/11,0,64
USC00519397,02/05/11,0,65
USC00519397,02/06/11,0,75
USC00519397,02/07/11,1.29,68
USC00519397,02/08/11,1.3,71
USC00519397,02/09/11,0,71
USC00519397,02/10/11,0.29,71
USC00519397,02/12/11,,68
USC00519397,02/13/11,0,68
USC00519397,02/14/11,0.04,72
USC00519397,02/15/11,0.05,70
USC00519397,02/16/11,0,74
USC00519397,02/19/11,0,67
USC00519397,02/20/11,1.72,71
USC00519397,02/21/11,0,71
USC00519397,02/22/11,0.82,71
USC00519397,02/23/11,0,74
USC00519397,02/24/11,0.2,68
USC00519397,02/25/11,0,71
USC00519397,02/26/11,0,69
USC00519397,02/27/11,0,69
USC00519397,02/28/11,0,68
USC00519397,03/01/11,0.1,68
USC00519397,03/02/11,0,72
USC00519397,03/03/11,0,74
USC00519397,03/04/11,0.88,72
USC00519397,03/05/11,0.4,69
USC00519397,03/06/11,0.03,70
USC00519397,03/08/11,,72
USC00519397,03/09/11,0.2,71
USC00519397,03/10/11,0.15,71
USC00519397,03/12/11,0,72
USC00519397,03/13/11,0,70
USC00519397,03/14/11,0,71
USC00519397,03/16/11,0,76
USC00519397,03/17/11,0.01,73
USC00519397,03/18/11,0.05,74
USC00519397,03/19/11,0.01,74
USC00519397,03/20/11,0.02,74
USC00519397,03/21/11,0,74
USC00519397,03/22/11,0.02,74
USC00519397,03/23/11,0,74
USC00519397,03/24/11,0.06,73
USC00519397,03/25/11,0,74
USC00519397,03/26/11,0,74
USC00519397,03/27/11,0,73
USC00519397,03/28/11,0.04,74
USC00519397,03/30/11,0,75
USC00519397,03/31/11,0,74
USC00519397,04/01/11,0.05,74
USC00519397,04/02/11,0.04,75
USC00519397,04/03/11,0,74
USC00519397,04/04/11,0,75
USC00519397,04/05/11,0,74
USC00519397,04/06/11,0.09,70
USC00519397,04/07/11,1.11,70
USC00519397,04/08/11,0.36,70
USC00519397,04/09/11,0.02,76
USC00519397,04/10/11,0,76
USC00519397,04/11/11,0,76
USC00519397,04/12/11,0,76
USC00519397,04/13/11,0,70
USC00519397,04/15/11,0,77
USC00519397,04/16/11,0.12,74
USC00519397,04/17/11,0,73
USC00519397,04/18/11,0,76
USC00519397,04/19/11,0,76
USC00519397,04/20/11,0,74
USC00519397,04/21/11,0,77
USC00519397,04/22/11,0,77
USC00519397,04/23/11,0,78
USC00519397,04/24/11,0,77
USC00519397,04/25/11,0,77
USC00519397,04/26/11,0,76
USC00519397,04/27/11,0,77
USC00519397,04/29/11,0,78
USC00519397,04/30/11,0.04,76
USC00519397,05/01/11,0,77
USC00519397,05/02/11,0,77
USC00519397,05/03/11,2.1,70
USC00519397,05/04/11,0.02,76
USC00519397,05/05/11,0.12,74
USC00519397,05/06/11,0.12,72
USC00519397,05/07/11,0.55,74
USC00519397,05/08/11,0.55,73
USC00519397,05/09/11,0.02,75
USC00519397,05/10/11,0.11,75
USC00519397,05/11/11,0.1,75
USC00519397,05/12/11,0,76
USC00519397,05/13/11,0,77
USC00519397,05/14/11,0,78
USC00519397,05/15/11,0,77
USC00519397,05/16/11,0,78
USC00519397,05/17/11,0,77
USC00519397,05/18/11,0,76
USC00519397,05/19/11,0.01,77
USC00519397,05/20/11,0,79
USC00519397,05/21/11,0,77
USC00519397,05/22/11,0.06,74
USC00519397,05/23/11,0.02,78
USC00519397,05/24/11,0,77
USC00519397,05/25/11,0,79
USC00519397,05/26/11,0,78
USC00519397,05/27/11,0,78
USC00519397,05/28/11,0,77
USC00519397,05/29/11,0,78
USC00519397,05/30/11,0,78
USC00519397,05/31/11,0.05,73
USC00519397,06/01/11,0.07,77
USC00519397,06/02/11,0,78
USC00519397,06/03/11,0.56,73
USC00519397,06/04/11,0.89,70
USC00519397,06/05/11,0,76
USC00519397,06/06/11,0,77
USC00519397,06/07/11,0,77
USC00519397,06/08/11,0.03,77
USC00519397,06/09/11,0.01,77
USC00519397,06/10/11,0,78
USC00519397,06/11/11,0,77
USC00519397,06/12/11,0,77
USC00519397,06/13/11,0,78
USC00519397,06/14/11,0,78
USC00519397,06/15/11,0,77
USC00519397,06/17/11,0,78
USC00519397,06/18/11,0,78
USC00519397,06/19/11,0.05,75
USC00519397,06/20/11,0.06,76
USC00519397,06/21/11,0.07,76
USC00519397,06/24/11,,77
USC00519397,06/25/11,0,78
USC00519397,06/26/11,0,76
USC00519397,06/27/11,0.01,77
USC00519397,06/28/11,0.01,75
USC00519397,06/29/11,0,77
USC00519397,07/01/11,0.05,77
USC00519397,07/02/11,0.02,78
USC00519397,07/03/11,0,78
USC00519397,07/04/11,0,78
USC00519397,07/05/11,0.01,78
USC00519397,07/06/11,0.01,76
USC00519397,07/07/11,0.01,76
USC00519397,07/08/11,0,77
USC00519397,07/09/11,0.03,77
USC00519397,07/10/11,0.02,77
USC00519397,07/11/11,0,78
USC00519397,07/12/11,0,77
USC00519397,07/13/11,0.15,73
USC00519397,07/14/11,0,77
USC00519397,07/15/11,0,79
USC00519397,07/16/11,0,78
USC00519397,07/17/11,0.04,77
USC00519397,07/18/11,0,78
USC00519397,07/19/11,0,78
USC00519397,07/20/11,0,76
USC00519397,07/21/11,0.03,77
USC00519397,07/23/11,0,78
USC00519397,07/24/11,0,77
USC00519397,07/25/11,0,78
USC00519397,07/26/11,0,78
USC00519397,07/27/11,0.04,77
USC00519397,07/28/11,0.09,77
USC00519397,07/29/11,0.04,78
USC00519397,07/30/11,0.12,80
USC00519397,07/31/11,0,77
USC00519397,08/01/11,0,78
USC00519397,08/02/11,0,77
USC00519397,08/03/11,0,78
USC00519397,08/04/11,0.02,76
USC00519397,08/05/11,0.03,78
USC00519397,08/06/11,0.01,77
USC00519397,08/07/11,0,78
USC00519397,08/08/11,0,78
USC00519397,08/09/11,0,79
USC00519397,08/11/11,0,78
USC00519397,08/12/11,0,78
USC00519397,08/13/11,0,76
USC00519397,08/14/11,0,78
USC00519397,08/15/11,0,77
USC00519397,08/16/11,0,79
USC00519397,08/17/11,0.02,77
USC00519397,08/18/11,0,77
USC00519397,08/19/11,0,78
USC00519397,08/20/11,0.07,77
USC00519397,08/21/11,0,77
USC00519397,08/22/11,0,78
USC00519397,08/23/11,0,78
USC00519397,08/24/11,0,79
USC00519397,08/25/11,0,78
USC00519397,08/26/11,0,78
USC00519397,08/27/11,0,79
USC00519397,08/28/11,0.05,76
USC00519397,08/29/11,0.1,76
USC00519397,08/30/11,0.02,78
USC00519397,08/31/11,0,79
USC00519397,09/02/11,0,79
USC00519397,09/03/11,0,78
USC00519397,09/04/11,0.03,77
USC00519397,09/05/11,0,77
USC00519397,09/06/11,0,73
USC00519397,09/07/11,0,73
USC00519397,09/08/11,0,77
USC00519397,09/09/11,0,79
USC00519397,09/10/11,0,77
USC00519397,09/11/11,0,77
USC00519397,09/12/11,0,85
USC00519397,09/13/11,0.01,77
USC00519397,09/14/11,0,76
USC00519397,09/15/11,0,79
USC00519397,09/16/11,0,79
USC00519397,09/17/11,0.02,77
USC00519397,09/18/11,0.04,77
USC00519397,09/19/11,0,82
USC00519397,09/20/11,0,80
USC00519397,09/21/11,0,79
USC00519397,09/22/11,0.03,78
USC00519397,09/23/11,0,76
USC00519397,09/24/11,0,77
USC00519397,09/25/11,0,74
USC00519397,09/26/11,0,77
USC00519397,09/27/11,0,78
USC00519397,09/28/11,0,77
USC00519397,10/01/11,0,78
USC00519397,10/02/11,0,78
USC00519397,10/03/11,0,80
USC00519397,10/05/11,,79
USC00519397,10/06/11,0,75
USC00519397,10/07/11,0.03,78
USC00519397,10/08/11,0,79
USC00519397,10/09/11,0,78
USC00519397,10/10/11,0.02,77
USC00519397,10/11/11,0.03,78
USC00519397,10/12/11,0,77
USC00519397,10/13/11,0,77
USC00519397,10/14/11,0.03,78
USC00519397,10/15/11,0.02,77
USC00519397,10/16/11,0,76
USC00519397,10/17/11,0.02,77
USC00519397,10/18/11,0.01,76
USC00519397,10/19/11,0,74
USC00519397,10/20/11,0,78
USC00519397,10/21/11,0,76
USC00519397,10/22/11,0,77
USC00519397,10/23/11,0,75
USC00519397,10/24/11,0.14,74
USC00519397,10/25/11,1.6,77
USC00519397,10/26/11,0.01,76
USC00519397,10/27/11,0,77
USC00519397,10/28/11,0.05,73
USC00519397,10/29/11,0.01,76
USC00519397,10/30/11,0,75
USC00519397,10/31/11,0.03,76
USC00519397,11/01/11,0.58,71
USC00519397,11/02/11,0.28,77
USC00519397,11/03/11,0.02,77
USC00519397,11/04/11,0.01,75
USC00519397,11/05/11,0,76
USC00519397,11/06/11,0,77
USC00519397,11/07/11,0,78
USC00519397,11/08/11,0,76
USC00519397,11/09/11,0.02,76
USC00519397,11/10/11,0,76
USC00519397,11/11/11,0.05,74
USC00519397,11/12/11,0,75
USC00519397,11/13/11,0,76
USC00519397,11/14/11,0,73
USC00519397,11/15/11,0,71
USC00519397,11/16/11,0,75
USC00519397,11/17/11,0,76
USC00519397,11/18/11,0,78
USC00519397,11/19/11,0,76
USC00519397,11/20/11,0,75
USC00519397,11/21/11,0.01,76
USC00519397,11/22/11,0.02,73
USC00519397,11/23/11,0.01,75
USC00519397,11/24/11,0,73
USC00519397,11/25/11,0.01,70
USC00519397,11/26/11,0.02,75
USC00519397,11/27/11,0.07,73
USC00519397,11/28/11,0,72
USC00519397,11/29/11,0,72
USC00519397,11/30/11,0.02,66
USC00519397,12/01/11,0.03,69
USC00519397,12/02/11,0.08,68
USC00519397,12/03/11,0,73
USC00519397,12/04/11,0,74
USC00519397,12/05/11,0,73
USC00519397,12/06/11,0,73
USC00519397,12/07/11,0,73
USC00519397,12/08/11,0,73
USC00519397,12/09/11,0.13,71
USC00519397,12/10/11,0.07,73
USC00519397,12/11/11,0.07,73
USC00519397,12/12/11,0.08,77
USC00519397,12/13/11,0.4,72
USC00519397,12/14/11,0.7,71
USC00519397,12/15/11,0,73
USC00519397,12/16/11,0.01,70
USC00519397,12/17/11,0.07,73
USC00519397,12/18/11,0.02,69
USC00519397,12/19/11,0.15,74
USC00519397,12/20/11,0.02,72
USC00519397,12/21/11,0.18,71
USC00519397,12/22/11,0.03,72
USC00519397,12/23/11,0.04,72
USC00519397,12/24/11,0.1,70
USC00519397,12/25/11,0.03,73
USC00519397,12/26/11,0,73
USC00519397,12/27/11,0,72
USC00519397,12/28/11,0,73
USC00519397,12/29/11,0,73
USC00519397,12/30/11,0,72
USC00519397,12/31/11,0.01,63
USC00519397,01/01/12,0,63
USC00519397,01/02/12,0,66
USC00519397,01/03/12,0,66
USC00519397,01/04/12,0,74
USC00519397,01/06/12,0,71
USC00519397,01/07/12,0,65
USC00519397,01/08/12,0,61
USC00519397,01/10/12,0,71
USC00519397,01/11/12,0,65
USC00519397,01/12/12,0,66
USC00519397,01/14/12,0,61
USC00519397,01/15/12,0,74
USC00519397,01/16/12,0.04,75
USC00519397,01/17/12,0,75
USC00519397,01/18/12,0,75
USC00519397,01/19/12,0.02,68
USC00519397,01/20/12,0,73
USC00519397,01/21/12,0,74
USC00519397,01/22/12,0,74
USC00519397,01/23/12,0,67
USC00519397,01/24/12,0,66
USC00519397,01/25/12,0,69
USC00519397,01/26/12,0,74
USC00519397,01/27/12,0.04,68
USC00519397,01/28/12,0.03,72
USC00519397,01/29/12,1.03,72
USC00519397,01/30/12,0.01,71
USC00519397,01/31/12,0,71
USC00519397,02/01/12,0,66
USC00519397,02/02/12,0,72
USC00519397,02/03/12,0,63
USC00519397,02/04/12,0,65
USC00519397,02/05/12,0,69
USC00519397,02/06/12,0,71
USC00519397,02/07/12,0.37,71
USC00519397,02/08/12,0.28,65
USC00519397,02/09/12,0.01,61
USC00519397,02/10/12,0,71
USC00519397,02/11/12,0,72
USC00519397,02/12/12,0,72
USC00519397,02/13/12,0.04,72
USC00519397,02/14/12,0.01,65
USC00519397,02/15/12,0,66
USC00519397,02/16/12,0,73
USC00519397,02/17/12,0,73
USC00519397,02/18/12,0.04,71
USC00519397,02/19/12,0.01,72
USC00519397,02/20/12,0,73
USC00519397,02/21/12,0,72
USC00519397,02/22/12,0,73
USC00519397,02/23/12,0,77
USC00519397,02/24/12,0,67
USC00519397,02/25/12,0,69
USC00519397,02/26/12,0.05,73
USC00519397,02/27/12,0.06,72
USC00519397,02/28/12,0,73
USC00519397,02/29/12,0,74
USC00519397,03/01/12,0.06,73
USC00519397,03/02/12,0,67
USC00519397,03/03/12,0.03,71
USC00519397,03/04/12,0.01,72
USC00519397,03/05/12,1.08,67
USC00519397,03/06/12,4,69
USC00519397,03/07/12,2.42,67
USC00519397,03/08/12,0.02,69
USC00519397,03/09/12,0.19,66
USC00519397,03/10/12,0.06,73
USC00519397,03/11/12,0,74
USC00519397,03/12/12,0.03,71
USC00519397,03/13/12,0,72
USC00519397,03/14/12,0,73
USC00519397,03/15/12,0,71
USC00519397,03/16/12,0.05,72
USC00519397,03/17/12,0,73
USC00519397,03/18/12,0,72
USC00519397,03/19/12,0,73
USC00519397,03/20/12,0,69
USC00519397,03/21/12,0,73
USC00519397,03/22/12,0.03,74
USC00519397,03/23/12,0.01,72
USC00519397,03/24/12,0,74
USC00519397,03/25/12,0,74
USC00519397,03/26/12,0.11,72
USC00519397,03/27/12,0.03,70
USC00519397,03/28/12,0.02,71
USC00519397,03/29/12,0,72
USC00519397,03/30/12,0,73
USC00519397,03/31/12,0,74
USC00519397,04/01/12,0,73
USC00519397,04/02/12,0,74
USC00519397,04/03/12,0,75
USC00519397,04/04/12,0,74
USC00519397,04/05/12,0.19,74
USC00519397,04/06/12,0,74
USC00519397,04/07/12,0.03,74
USC00519397,04/08/12,0,74
USC00519397,04/09/12,0.07,72
USC00519397,04/10/12,0.05,69
USC00519397,04/11/12,0.06,71
USC00519397,04/12/12,0,70
USC00519397,04/13/12,0.03,71
USC00519397,04/14/12,0,70
USC00519397,04/15/12,0.01,75
USC00519397,04/16/12,0.01,75
USC00519397,04/17/12,0,75
USC00519397,04/18/12,0,75
USC00519397,04/19/12,0,75
USC00519397,04/20/12,0,75
USC00519397,04/21/12,0.01,74
USC00519397,04/22/12,0.04,69
USC00519397,04/23/12,0.03,73
USC00519397,04/24/12,0,73
USC00519397,04/25/12,0,75
USC00519397,04/26/12,0,74
USC00519397,04/27/12,0,75
USC00519397,04/28/12,0,76
USC00519397,04/29/12,0,75
USC00519397,04/30/12,0,75
USC00519397,05/01/12,0,75
USC00519397,05/02/12,0,75
USC00519397,05/03/12,0,75
USC00519397,05/04/12,0,75
USC00519397,05/05/12,0.04,74
USC00519397,05/06/12,0,75
USC00519397,05/07/12,0,74
USC00519397,05/08/12,0,75
USC00519397,05/09/12,0,74
USC00519397,05/10/12,0,74
USC00519397,05/11/12,0,75
USC00519397,05/12/12,0,75
USC00519397,05/13/12,0,72
USC00519397,05/14/12,0,74
USC00519397,05/15/12,0,74
USC00519397,05/16/12,0,75
USC00519397,05/17/12,0,76
USC00519397,05/18/12,0,77
USC00519397,05/19/12,0,77
USC00519397,05/20/12,0,77
USC00519397,05/21/12,0,76
USC00519397,05/22/12,0,77
USC00519397,05/23/12,0,76
USC00519397,05/24/12,0,78
USC00519397,05/25/12,0,77
USC00519397,05/26/12,0,76
USC00519397,05/27/12,0,76
USC00519397,05/28/12,0,77
USC00519397,05/29/12,0,76
USC00519397,05/30/12,0,76
USC00519397,05/31/12,0.01,73
USC00519397,06/01/12,0.02,76
USC00519397,06/02/12,0.02,76
USC00519397,06/03/12,0,75
USC00519397,06/04/12,0,77
USC00519397,06/05/12,0,77
USC00519397,06/06/12,0,76
USC00519397,06/07/12,0,78
USC00519397,06/08/12,,77
USC00519397,06/09/12,,76
USC00519397,06/10/12,0,77
USC00519397,06/11/12,0,76
USC00519397,06/12/12,0,76
USC00519397,06/13/12,0,77
USC00519397,06/14/12,0,77
USC00519397,06/15/12,0,78
USC00519397,06/16/12,0,77
USC00519397,06/17/12,0,77
USC00519397,06/18/12,0,77
